Prad lewego mostka [mA];Prad prawego mostka [mA];Czas [ms]
70;70;425,0243
65;65;517,0296
62,5;62,5;598,0342
50;47,5;661,0378
50;47,5;725,0415
57,5;57,5;805,0461
57,5;57,5;869,0497
65;60;998,0571
60;60;1060,0606
60;57,5;1125,0644
57,5;60;1205,0689
57,5;57,5;1253,0717
52,5;52,5;1317,0753
0;67,5;1381,079
55;52,5;1445,0827
57,5;60;1510,0864
57,5;57,5;1573,09
57,5;57,5;1636,0936
55;55;1701,0973
55;55;1764,1009
55;55;1828,1046
55;52,5;1877,1074
55;55;1941,111
55;52,5;2005,1147
42,5;42,5;2053,1174
45;45;2118,1212
52,5;55;2165,1238
55;55;2229,1275
55;55;2292,1311
55;52,5;2341,1339
52,5;55;2406,1376
52,5;52,5;2454,1404
0;75;2471,1413
0;75;2472,1414
